"","sp_code","elevation","season","plant_group","species","shape_upd","symmetry","flower_pos","anther_pos","odour","brightness","colour","nectar_guides","size","tube_length","volume","concentration","sugar_amount","glucose","fructose","saccharose","d","shape_upd_num","symmetry_num","flower_pos_num","anther_pos_num","odour_num","brightness_num","nectar_guides_num","R","G","B","brown","green","orange","pink","purple","red","white","yellow"
"SABCAL_650_DRY","SABCAL",650,"DRY","Climber","Sabicea calycina","Tube","Actinomorphic","All","Partially exposed","Weak-No","Vivid","White","Present",0.6708,1.59933333333333,1.3886769005848,22.8071428571429,0.304224161677906,0.129678006581949,0.0986575429037125,0.771664450514339,0.145630384587313,0,0,0,0.5,0,1,1,255,255,255,0,0,0,0,0,0,1,0
"SABPIL_650_DRY","SABPIL",650,"DRY","Climber","Sabicea pilosa","Tube","Actinomorphic","Upright","Partially exposed","Weak-No","Vivid","White","Absent",0.6761,2.3245,8.39569627192982,17.3933333333333,1.65333680101909,0.170521606539767,0.149172780981549,0.680305612478684,0.804335111884723,0,0,0.5,0.5,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"SCACIN_650_DRY","SCACIN",650,"DRY","Herb","Scadoxus cinnabarinus","Salverform","Actinomorphic","All","Exposed","Weak-No","Vivid","Orange","Absent",4.1598,0.7122,0.93,21.2,0.2112925032,0,0,0,0.474894773464931,0,0,0,1,0,1,0,255,165,0,0,0,1,0,0,0,0,0
"SCHMAG_650_DRY","SCHMAG",650,"DRY","Tree","Schumanniophyton magnificum","Trumpet","Actinomorphic","All","Partially exposed","Strong ","Vivid","White","Absent",4.254,8.884,NA,NA,NA,NA,NA,NA,0.474410031808382,0,0,0,0.5,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"SOLTER_650_DRY","SOLTER",650,"DRY","Climber","Solanum terminale subsp inconstans","Stellate","Actinomorphic","Upright","Exposed","Weak-No","Vivid","Purple","Absent",1.7255,0,NA,NA,0.000892857142857143,NA,NA,NA,0.0301692996972152,1,0,0.5,1,0,1,0,160,32,240,0,0,0,0,1,0,0,0
"TABBRA_650_DRY","TABBRA",650,"DRY","Tree","Tabernaemontana brachyantha","Salverform","Actinomorphic","All","Hidden","Strong ","Vivid","White","Present",4.82757142857143,1.25957142857143,14.8428362573099,11.6,1.89452251535088,0.319829944506819,0.57369069120274,0.106479364290441,0.389023567451106,0,0,0,0,0,1,1,255,255,255,0,0,0,0,0,0,1,0
"TABCRA_650_DRY","TABCRA",650,"DRY","Climber","Tabernaemontana sp 1 ""crassa""","Salverform","Actinomorphic","All","Hidden","Strong ","Vivid","White","Absent",10.1633333333333,5.94533333333333,NA,NA,NA,NA,NA,NA,0.422887237551289,0,0,0,0,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"TRIRUB_650_DRY","TRIRUB",650,"DRY","Tree","Trichilia rubescens","Dish","Actinomorphic","Upright","Exposed","Moderate","(blank)","Green","Absent",1.005,0.2595,2.746614,20.7857142857143,0.363977829341526,0.178876224572672,0.501008154087619,0.320115621339708,0.351110179778526,1,0,0.5,1,0.5,0,0,0,255,0,0,1,0,0,0,0,0,0
"VOABRA_650_DRY","VOABRA",650,"DRY","Shrub","Voacanga bracteata","Salverform","Actinomorphic","Pendant","Hidden","Weak-No","Drab","Brown","Absent",1.404,1.4454,13.0051691729323,14.8071428571429,2.33886545617325,0.106475510450755,0.0891694250343181,0.804355064514927,0.408842408023794,0,0,0,0,0,0,0,165,42,42,1,0,0,0,0,0,0,0
"ACASTR_1100_DRY","ACASTR",1100,"DRY","Herb","Streptocarpus strigosus","Tube","Actinomorphic","All","Hidden","Weak-No","Vivid","Purple","Present",1.18438461538462,1.68284615384615,1.43092105263158,4.5625,0.0609791699561404,0.0374314812782835,0.0327422839560267,0.92982623476569,0.167701219349176,0,0,0,0,0,1,1,160,32,240,0,0,0,0,1,0,0,0
"AFRSPP_1100_DRY","AFRSPP",1100,"DRY","Herb","Aframomum sp purple","Trumpet","Zygomorphic","Upright","Hidden","Weak-No","Vivid","Purple","Present",5.1243125,4.5085,9.54098945279866,15.355,2.29074008501316,0.349860404124969,0.31056638197741,0.33957321389762,0.377823136114849,0,1,0.5,0,0,1,1,160,32,240,0,0,0,0,1,0,0,0
"ANCDIF_1100_DRY","ANCDIF",1100,"DRY","Herb","Anchomanes difformis","Open","Actinomorphic","Horizontal","Exposed","Strong ","Drab","White","Absent",0.245777777777778,0,NA,NA,0.00399523809523809,0.144476557482338,0.243192035966602,0.61233140655106,0.56634849819878,1,0,1,1,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"ANESP1_1100_DRY","ANESP1",1100,"DRY","Herb","Aneilema sp 1","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Drab","White","Absent",0.614,0,NA,NA,NA,NA,NA,NA,0.308650170909978,1,1,1,1,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"ARGAFZ_1100_DRY","ARGAFZ",1100,"DRY","Climber","Argocoffeopsis afzelii","Salverform","Actinomorphic","Upright","Exposed","Strong ","Vivid","White","Absent",1.7094,0.19,NA,NA,0.0810861111111111,0.350832430653308,0.29393515052871,0.355232418817982,0.170968435574998,0,0,0.5,1,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"BEGFUS_1100_DRY","BEGFUS",1100,"DRY","Herb","Begonia fusialata","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Drab","White","Present",0.9329,0,NA,NA,0.00491923076923077,0.411347517730496,0.574468085106383,0.0141843971631206,0.0814149721603711,1,1,1,1,0,0,1,255,255,255,0,0,0,0,0,0,1,0
"BEGLET_1100_DRY","BEGLET",1100,"DRY","Herb","Begonia letouzeyi","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Yellow","Present",2.0845,0,NA,NA,0.00418839285714286,0.175324675324675,0.142857142857143,0.681818181818182,0.183056100709855,1,1,1,1,0,1,1,255,255,0,0,0,0,0,0,0,0,1
"BEGMAN_1100_DRY","BEGMAN",1100,"DRY","Herb","Begonia mannii","Open","Zygomorphic","All","Exposed","Weak-No","Vivid","Red","Absent",1.5245,0,NA,NA,0.00459615384615385,0.471349795801069,0.523061968904813,0.00558823529411765,0.228233928017569,1,1,0,1,0,1,0,255,0,0,0,0,0,0,0,1,0,0
"BEGOXY_1100_DRY","BEGOXY",1100,"DRY","Herb","Begonia oxyloba","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Pink","Present",1.1908,0,NA,NA,0.000967204301075269,NA,NA,NA,0,1,1,1,1,0,1,1,255,192,203,0,0,0,1,0,0,0,0
"BRIOWA_1100_DRY","BRIOWA",1100,"DRY","Herb","Brillantaisia owariensis","Labiate","Zygomorphic","Horizontal","Exposed","Strong ","Vivid","Purple","Present",2.9276,1.0362,3.59824561403509,30.332,1.36185505081798,0.196739136155023,0.233855835839328,0.569405028005649,0.338181719012791,0,1,1,1,0,1,1,160,32,240,0,0,0,0,1,0,0,0
"CAMFLA_1100_DRY","CAMFLA",1100,"DRY","Shrub","Gomphia flava","Stellate","Actinomorphic","All","Exposed","Weak-No","Vivid","Yellow","Absent",2.0406,0,NA,NA,0.00419479166666667,0.543863593463593,0.430188546988547,0.0259478595478596,0.383756416750292,1,0,0,1,0,1,0,255,255,0,0,0,0,0,0,0,0,1
"CHASCI_1100_DRY","CHASCI",1100,"DRY","Shrub","Chazaliella sciadephora","Bell","Actinomorphic","All","Exposed","Weak-No","Drab","White","Absent",0.478714285714286,0.243571428571429,NA,NA,NA,NA,NA,NA,0.156155917543086,0,0,0,1,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"CHLCOM_1100_DRY","CHLCOM",1100,"DRY","Herb","Chlorophytum comosum","Stellate","Actinomorphic","All","Exposed","Weak-No","Drab","White","Absent",0.6308,0,NA,NA,0.0146571428571429,0.494618040958154,0.503431237106125,0.00195072193572185,0.280893796487066,1,0,0,1,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"CHYSP1_1100_DRY","CHYSP1",1100,"DRY","Tree","Chytranthus sp 1","Urceolate","Actinomorphic","All","Exposed","Weak-No","Drab","White","Absent",0.51,0,NA,NA,NA,NA,NA,NA,0.33480347354224,0,0,0,1,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"CISORE_1100_DRY","CISORE",1100,"DRY","Climber","Cissus oreophila","Dish","Actinomorphic","Upright","Exposed","Strong ","Drab","White","Absent",0.268333333333333,0,NA,NA,0.00865,0.226495726495727,0.243589743589744,0.52991452991453,0.63839581769557,1,0,0.5,1,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"COMSP1_1100_DRY","COMSP1",1100,"DRY","Herb","Commelinaceae sp 1","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Drab","White","Absent",0.8326,0,NA,NA,0.0072,NA,NA,NA,0.251693526217654,1,1,1,1,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"CORAUR_1100_DRY","CORAUR",1100,"DRY","Tree","Cordia aurantiaca","Tube","Actinomorphic","All","Exposed","Strong ","Vivid","Yellow","Absent",2.2,0.9,3.9468,36.75,1.664802224085,0.0946961406580579,0.786970161231488,0.118333698110455,0.512014149101519,0,0,0,1,0,1,0,255,255,0,0,0,0,0,0,0,0,1
"COSDUB_1100_DRY","COSDUB",1100,"DRY","Herb","Costus dubius","Tube","Zygomorphic","Upright","Hidden","Strong ","Vivid","White","Present",3.1411,3.674,10.8728070175439,14.3166666666667,1.82266177427632,0.0758603325458263,0.152582181471493,0.771557485982681,0.164643968974863,0,1,0.5,0,0,1,1,255,255,255,0,0,0,0,0,0,1,0
"CRAMON_1100_DRY","CRAMON",1100,"DRY","Herb","Crassocephalum montuosum","Tube","Actinomorphic","All","Exposed","Strong ","Vivid","Orange","Absent",0.6139,0.7089,NA,NA,0.00259007092198582,0.275172073442006,0.360266632222594,0.3645612943354,0.0986317696530231,0,0,0,1,0,1,0,255,165,0,0,0,1,0,0,0,0,0
"CUVLON_1100_DRY","CUVLON",1100,"DRY","Tree","Cuviera longiflora","Stellate","Actinomorphic","Upright","Exposed","Strong ","Vivid","Green","Present",4.147,0.6646,NA,NA,1.62733333333333,0.195215460582996,0.29435915369932,0.510425385717684,0.640389398598027,1,0,0.5,1,0,1,1,0,255,0,0,1,0,0,0,0,0,0
"DEISP1_1100_DRY","DEISP1",1100,"DRY","Shrub","Deinbollia sp 1","Urceolate","Actinomorphic","All","Exposed","Weak-No","Drab","Green","Absent",0.2886,0,NA,NA,0.164492888888889,0.163789552795448,0.175461228151133,0.660749219053419,0.17436960265767,0,0,0,1,0,0,0,0,255,0,0,1,0,0,0,0,0,0
"DIOCUM_1100_DRY","DIOCUM",1100,"DRY","Climber","Dioscoreophyllum cumminsii","Open","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","Yellow","Absent",0.3216,0,NA,NA,0.00270700793650794,0.333217773940968,0.650238108411973,0.0165441176470588,0.37473738389432,1,0,1,1,0,0,0,255,255,0,0,0,0,0,0,0,0,1
"DISHEX_1100_DRY","DISHEX",1100,"DRY","Tree","Discocloaxylon hexandrum","Open","Actinomorphic","Pendant","Exposed","Weak-No","Drab","Green","Absent",0.492,0,NA,NA,0.00448964285714286,0.0645566001772457,0.0535255686583649,0.881917831164389,0.36802689631825,1,0,0,1,0,0,0,0,255,0,0,1,0,0,0,0,0,0
"DISSP1_1100_DRY","DISSP1",1100,"DRY","Herb","Dischistocalyx sp 1","Tube","Actinomorphic","Upright","Hidden","Weak-No","Vivid","Purple","Present",1.9894,2.4218,4.77974828375286,15.2434782608696,0.655031683312247,0.305426788066689,0.180396514683555,0.514176697249756,0.403185542816889,0,0,0.5,0,0,1,1,160,32,240,0,0,0,0,1,0,0,0
"DISSP2_1100_DRY","DISSP2",1100,"DRY","Herb","Dischistocalyx sp 2","Tube","Zygomorphic","Upright","Hidden","Weak-No","Vivid","Purple","Present",2.80066666666667,3.52466666666667,NA,NA,NA,NA,NA,NA,0.404523948101461,0,1,0.5,0,0,1,1,160,32,240,0,0,0,0,1,0,0,0
"GRELIA_1100_DRY","GRELIA",1100,"DRY","Climber","Prionostemma fimbriatum","Open","Actinomorphic","Upright","Exposed","Weak-No","Drab","Green","Absent",1.004,0,NA,NA,0.0034,NA,NA,NA,0.221341161357385,1,0,0.5,1,0,0,0,0,255,0,0,1,0,0,0,0,0,0
